experiment,model,feature selection,test_accuracy_mean,test_accuracy_std,test_bal_acc_mean,test_bal_acc_std,test_roc_auc_mean,test_roc_auc_std,test_f1_mean,test_f1_std,test_precision_mean,test_precision_std,test_sensitivity_mean,test_sensitivity_std,test_specificity_mean,test_specificity_std,columns_fs
Bladder Cancer vs Prostate Cancer,XGBoost,None,0.9092436974789916,0.020168067226890737,0.8907116104868914,0.03679717623510703,0.9588014981273408,0.010500259002903491,0.9387563715757897,0.013160060838123084,0.9499756948332856,0.023752518747750032,0.9280898876404494,0.008988764044943797,0.8533333333333333,0.07180219742846004,FULL FEATURES
Bladder Cancer vs Prostate Cancer,LightGBM,None,0.9294117647058824,0.0125769996194082,0.9108239700374531,0.026740996017652445,0.9635955056179775,0.006825939026153982,0.9526627771710654,0.00801947953285598,0.9573676573114775,0.01879968827942826,0.948314606741573,0.008988764044943844,0.8733333333333334,0.0573488351136175,FULL FEATURES
Bladder Cancer vs Prostate Cancer,CatBoost,None,0.9243697478991597,0.02058394741834601,0.91187265917603,0.028043057092654023,0.9611235955056181,0.006574714084641735,0.9488029809660435,0.013876380088027279,0.9609121856805711,0.015249159942638044,0.9370786516853933,0.015241190973315201,0.8866666666666667,0.04521553322083511,FULL FEATURES
Bladder Cancer vs Cystitis,XGBoost,None,0.8882882882882883,0.019405999304989218,0.8892747701736466,0.02392004936369792,0.9481103166496425,0.020744751027363218,0.9271508783554454,0.013018581520672241,0.970513614659956,0.00992360749987028,0.8876404494382022,0.018801348910878108,0.890909090909091,0.03636363636363637,FULL FEATURES
Bladder Cancer vs Cystitis,LightGBM,None,0.908108108108108,0.021621621621621626,0.905056179775281,0.017308537565554227,0.9597548518896832,0.008350943181192913,0.940539254179473,0.01470661277235087,0.9737267218273191,0.008605162259126409,0.9101123595505618,0.029299786090798415,0.9,0.034015067152490384,FULL FEATURES
Bladder Cancer vs Cystitis,CatBoost,None,0.9045045045045047,0.004413495032041771,0.8993871297242084,0.019524805774887896,0.9467824310520939,0.019834032547530064,0.9384536984876706,0.002554380427475249,0.971388355584357,0.01160729372330894,0.9078651685393258,0.008408218846683035,0.890909090909091,0.04635472285084349,FULL FEATURES
Bladder Cancer vs Kidney Cancer,XGBoost,None,0.6638655462184875,0.018410842269081188,0.6471161048689138,0.02293272831991633,0.7039700374531837,0.017950353994209776,0.7517586589368003,0.015029405730238952,0.839449661239224,0.014552694917400149,0.6808988764044944,0.01959055704962099,0.6133333333333333,0.039999999999999994,FULL FEATURES
Bladder Cancer vs Kidney Cancer,LightGBM,None,0.7008403361344537,0.018865499429112295,0.6475280898876404,0.024254341582679174,0.6896254681647941,0.014034502985624371,0.7905467887955966,0.01366626158720402,0.8296725490690422,0.013628373409836414,0.7550561797752808,0.016513413996291092,0.54,0.038873012632301994,FULL FEATURES
Bladder Cancer vs Kidney Cancer,CatBoost,None,0.6638655462184874,0.020583947418346033,0.6559550561797753,0.01755607740294748,0.7259925093632958,0.014392162467862119,0.7491667235608918,0.01816195462689637,0.8468242695300289,0.008695941360915897,0.6719101123595506,0.023993434274227645,0.6399999999999999,0.01333333333333333,FULL FEATURES
Bladder Cancer vs Uterus Cancer,XGBoost,None,0.9579831932773109,0.014061513050992857,0.9409737827715355,0.01882908282789451,0.9829962546816479,0.008329776626000287,0.9719901773780582,0.009456372548283451,0.9688307352962948,0.010663131916977875,0.9752808988764045,0.013103262685045603,0.9066666666666666,0.03265986323710903,FULL FEATURES
Bladder Cancer vs Uterus Cancer,LightGBM,None,0.9647058823529411,0.013445378151260507,0.9565168539325842,0.012447986863125638,0.9916104868913858,0.0020043577768179316,0.9762701080226659,0.009175672604001693,0.9796185802229971,0.004582401618269505,0.9730337078651685,0.015241190973315194,0.9400000000000001,0.01333333333333333,FULL FEATURES
Bladder Cancer vs Uterus Cancer,CatBoost,None,0.9478991596638655,0.012350368451007628,0.929812734082397,0.015194826253810943,0.9862172284644195,0.0029718104007306918,0.9651862404264341,0.008307878746040758,0.9641653041091244,0.008248305781472613,0.9662921348314608,0.012308372078767768,0.8933333333333333,0.02494438257849294,FULL FEATURES
Bladder Cancer vs Others,XGBoost,None,0.7741293532338308,0.017405826551777016,0.781400481540931,0.017422472962659582,0.8758426966292134,0.014741744006662312,0.7680322090931027,0.018179989377028832,0.7047208985704561,0.020180106352909462,0.844943820224719,0.032873570423208494,0.7178571428571429,0.030199168795156738,FULL FEATURES
Bladder Cancer vs Others,LightGBM,None,0.8039800995024876,0.01320049667803145,0.8051865971107546,0.010938415238678511,0.8826043338683789,0.012092808318442679,0.7866750575290596,0.01010208534228775,0.7613189305957155,0.029706253177039194,0.8157303370786517,0.027152912300212523,0.7946428571428571,0.038299304624155754,FULL FEATURES
Bladder Cancer vs Others,CatBoost,None,0.7860696517412935,0.02179990278627525,0.7879614767255216,0.020995141831493213,0.8649879614767254,0.012029055934916728,0.7692427414222989,0.021550942233083105,0.7374157829569551,0.029032771526100697,0.8044943820224718,0.020839592124709455,0.7714285714285714,0.031237242293814086,FULL FEATURES
Prostate Cancer vs Others,XGBoost,None,0.8786069651741293,0.006748587047885851,0.8929239766081871,0.017008799827463984,0.9573879142300195,0.007459140167862484,0.6918042130762107,0.018217869642781673,0.5569466248037677,0.01389577157395465,0.9133333333333333,0.03399346342395189,0.8725146198830409,0.005729800567913867,FULL FEATURES
Prostate Cancer vs Others,LightGBM,None,0.8875621890547265,0.00922748109004548,0.873450292397661,0.031606226034774844,0.9536452241715401,0.0077695902422410135,0.6930272347521546,0.027477037498690727,0.5857238164229046,0.02515888455809865,0.8533333333333333,0.07180219742846004,0.8935672514619883,0.014035087719298239,FULL FEATURES
Prostate Cancer vs Others,CatBoost,None,0.8885572139303483,0.006748587047885861,0.8905263157894737,0.011239029738980312,0.9414814814814816,0.008310954527794652,0.7054118720419684,0.009395602452379076,0.5838425238600212,0.019830499684532047,0.8933333333333333,0.03265986323710904,0.887719298245614,0.012487810821089261,FULL FEATURES
