experiment,model,val_accuracy_mean,val_accuracy_std,val_bal_acc_mean,val_bal_acc_std,val_roc_auc_mean,val_roc_auc_std,val_f1_mean,val_f1_std,val_precision_mean,val_precision_std,val_sensitivity_mean,val_sensitivity_std,val_specificity_mean,val_specificity_std,test_accuracy_mean,test_accuracy_std,test_bal_acc_mean,test_bal_acc_std,test_roc_auc_mean,test_roc_auc_std,test_f1_mean,test_f1_std,test_precision_mean,test_precision_std,test_sensitivity_mean,test_sensitivity_std,test_specificity_mean,test_specificity_std,best_trial_params
Prostate Cancer vs Others,XGBoost,0.8923478566100653,0.01972086967102866,0.9188984358183253,0.01252378981176529,0.9594139688580295,0.006388719126466471,0.7300873959811932,0.03405213443344719,0.5928451178451178,0.05051862892666608,0.9568181818181818,0.030985450464627237,0.8809786898184688,0.02620822869179084,0.8798507462686567,0.012795841939912147,0.9128947368421052,0.014063430811162797,0.9588377192982456,0.0042679292482084435,0.7051114916271171,0.02291909049132523,0.5577203617008127,0.025908049693987033,0.96,0.025495097567963917,0.8657894736842107,0.014834679408147141,"{'imputer__n_neighbors': 29, 'clf__max_depth': 3, 'clf__n_estimators': 151, 'clf__lr': 0.03643824358497885, 'clf__subsample': 0.8744043064971918, 'clf__colsample_bytree': 0.7171917177035366, 'clf__min_child_weight': 4.916860674472638, 'clf__gamma': 0.9745571212739151, 'clf__reg_alpha': 0.06153282396215795, 'clf__reg_lambda': 0.7796403658376219, 'clf__scale_pos_weight': 3.0021193222025104}"
Prostate Cancer vs Others,LightGBM,0.9157342810758633,0.008838111188433693,0.9275200283142272,0.013316850792507046,0.9588878432801083,0.005917164628409695,0.7719836224757063,0.017530016011105688,0.654609713652903,0.0335597643017388,0.9443181818181818,0.035872032085601364,0.9107218748102726,0.014379880275624384,0.8932835820895522,0.005061440285914371,0.879561403508772,0.0093642148386544,0.9563377192982456,0.004002658588633593,0.7064019330582,0.011994405562376381,0.599611258500643,0.01389492065157871,0.86,0.020000000000000018,0.8991228070175439,0.00620269106303991,"{'imputer__n_neighbors': 27, 'clf__max_depth': 4, 'clf__num_leaves': 22, 'clf__n_estimators': 180, 'clf__lr': 0.011881930332371627, 'clf__subsample': 0.7720749424254014, 'clf__colsample_bytree': 0.6511898314308069, 'clf__min_child_samples': 12, 'clf__reg_lambda': 0.011712577398008489, 'clf__lambda_l1': 0.027913271017097337, 'clf__lambda_l2': 2.2918586564250107, 'clf__min_split_gain': 0.4877067653024853}"
Prostate Cancer vs Others,CatBoost,0.9204159536659209,0.012200264022527753,0.9200749584209529,0.010785360345272804,0.9518773928649619,0.01842587980361508,0.7779337419285326,0.025266378284294334,0.6767735042735044,0.0479023230301395,0.9195075757575758,0.0308485462433157,0.92064234108433,0.01789285099093688,0.8985074626865671,0.007235343070770637,0.8888157894736842,0.010285064339927784,0.9462938596491227,0.007540607724230414,0.7203118252184216,0.017474120627597907,0.6122092064015839,0.018911643383263094,875,0.01581138830084191,0.9026315789473683,0.006446025638903087,"{'imputer__n_neighbors': 29, 'clf__depth': 12, 'clf__lr': 0.014147450451702006, 'clf__iters': 200, 'clf__l2_leaf_reg': 7.027463716343382, 'clf__bagging_temperature': 0.9485287057667092, 'clf__border_count': 223, 'clf__random_strength': 0.5663008237063223}"
Bladder Cancer vs Others,XGBoost,0.770532227633715,0.04498629818720224,0.7792286410644885,0.041687246127132815,0.8421740913610686,0.038525193668294905,0.7678927133752366,0.038030878468732834,0.6992506162417005,0.05282891432543933,0.8537513997760359,0.02659285656505707,0.7047058823529412,0.07154138397312068,0.7634328358208955,0.011218877894308135,0.7693136314928657,0.010556005509007402,0.8616096102870678,0.0038988225380136984,0.7552086388797358,0.010470461731014664,0.6990477732478357,0.015470540950348673,0.8218487394957983,0.020856594363009854,0.7167785234899329,0.02453109648657326,"{'imputer__n_neighbors': 24, 'clf__max_depth': 7, 'clf__n_estimators': 169, 'clf__lr': 0.12926671443713272, 'clf__subsample': 0.8469505322193902, 'clf__colsample_bytree': 0.7293569919237015, 'clf__min_child_weight': 5.291955961254613, 'clf__gamma': 0.39804048925949, 'clf__reg_alpha': 0.4888058584071718, 'clf__reg_lambda': 0.1397806980684535, 'clf__scale_pos_weight': 3.262826712451033}"
Bladder Cancer vs Others,LightGBM,0.7855381510245272,0.02980173539973001,0.7858898733065456,0.026005179661233203,0.8576554182703315,0.03140093780816712,0.7655243138725221,0.025041106717220533,0.7470174854468239,0.05802301203697577,0.7881522956326987,0.014687063857950055,0.7836274509803921,0.06038348393989665,0.7835820895522388,0.026384581387557712,0.7832045569905814,0.025789767165618392,0.8729569680221083,0.014417645767718259,0.7621171780213756,0.026850524046281805,0.7454808912058587,0.032686893402930864,0.7798319327731091,0.02340905592804053,0.7865771812080536,0.03271424860927231,"{'imputer__n_neighbors': 30, 'clf__max_depth': 8, 'clf__num_leaves': 39, 'clf__n_estimators': 51, 'clf__lr': 0.08654910843367264, 'clf__subsample': 0.8558255913391839, 'clf__colsample_bytree': 0.652996602267504, 'clf__min_child_samples': 19, 'clf__reg_lambda': 0.19466929208044007, 'clf__lambda_l1': 0.03524800286519593, 'clf__lambda_l2': 0.28344703952422706, 'clf__min_split_gain': 0.16713157589608285}"
Bladder Cancer vs Others,CatBoost,0.774327585450397,0.021416642957506032,0.7740206664972821,0.02026574470770297,0.8470317376670714,0.02310116972883306,0.7510780172467345,0.02229208942830236,0.735797811521598,0.04191052254012193,0.7712206047032474,0.04841688808641025,0.7768207282913165,0.05233093524161712,0.7776119402985076,0.013054369913832766,0.7744515255766735,0.01236469254025273,0.8523264339292765,0.004526596018401794,0.7488303191037843,0.01262431270859623,0.7516760700960715,0.019695914946507322,0.746218487394958,0.009799919151000504,0.8026845637583891,0.01972743417006588,"{'imputer__n_neighbors': 24, 'clf__depth': 7, 'clf__lr': 0.06859808880955366, 'clf__iters': 140, 'clf__l2_leaf_reg': 7.357509853923865, 'clf__bagging_temperature': 0.13716393713473288, 'clf__border_count': 66, 'clf__random_strength': 1.179208172403419}"
Bladder Cancer vs Uterus Cancer,XGBoost,0.9462442194725659,0.020742753019463246,0.9474860022396416,0.02660691591795543,0.9819505879059349,0.013264668793280181,0.9632876075331319,0.014110937997977373,0.9824871435250117,0.014763215857100666,0.9449720044792833,0.018078445169196145,0.95,0.042389562394532926,0.9383647798742137,0.010062893081761002,0.9106932773109243,0.021968944544469928,0.9826890756302522,0.00534885666628547,0.9591717499443668,0.006452660474123118,0.9523008930198651,0.015010502652493806,0.9663865546218486,0.009205421134540615,0.8549999999999999,0.04847679857416328,"{'imputer__n_neighbors': 28, 'clf__max_depth': 4, 'clf__n_estimators': 217, 'clf__lr': 0.11134502838426313, 'clf__subsample': 0.9386017061218229, 'clf__colsample_bytree': 0.8152941418191466, 'clf__min_child_weight': 3.3379773009732636, 'clf__gamma': 0.710771237183926, 'clf__reg_alpha': 0.011852333025780901, 'clf__reg_lambda': 0.36133537437946983, 'clf__scale_pos_weight': 0.7490706788987528}"
Bladder Cancer vs Uterus Cancer,LightGBM,0.9588801399825021,0.018988043485773303,0.9600853863381857,0.023784156122764737,0.9893414053751399,0.006507474484327865,0.9720308889189344,0.012878875802682203,0.9869326325848065,0.01267197483342591,0.9576707726763717,0.016337875039160902,0.9625,0.036443449342783124,0.9572327044025158,0.017062465366352874,0.9398949579831932,0.02325672951715677,0.9891176470588234,0.004063700811974882,0.9715266106442577,0.011345886422589834,0.9683172442530731,0.01214908887321865,0.9747899159663866,0.011884147582967174,905,0.03674234614174768,"{'imputer__n_neighbors': 29, 'clf__max_depth': 10, 'clf__num_leaves': 31, 'clf__n_estimators': 97, 'clf__lr': 0.0858209289639393, 'clf__subsample': 0.7204046231304738, 'clf__colsample_bytree': 0.836324759232211, 'clf__min_child_samples': 24, 'clf__reg_lambda': 0.05580002216085783, 'clf__lambda_l1': 0.02454189351352477, 'clf__lambda_l2': 0.1399941877892335, 'clf__min_split_gain': 0.34043596683139815}"
Bladder Cancer vs Uterus Cancer,CatBoost,0.9430821147356581,0.021383194221323273,0.9536366181410975,0.022544937538201963,0.9837220044792833,0.008912567210020116,0.9606287837824835,0.014947362281638796,0.9910101010101011,0.011011490969625573,0.9322732362821948,0.02263117722678139,975,0.03061862178478973,0.9509433962264151,0.004706487278960931,0.9373529411764707,0.00589756436568141,0.9839495798319329,0.003893305515499274,0.9671377996170053,0.0032127793993847503,0.9696180323498369,0.003964298176245968,0.9647058823529411,0.00628849980970408,0.9099999999999999,0.012247448713915901,"{'imputer__n_neighbors': 27, 'clf__depth': 12, 'clf__lr': 0.12221352311639598, 'clf__iters': 180, 'clf__l2_leaf_reg': 5.104308740060276, 'clf__bagging_temperature': 0.10644005600034107, 'clf__border_count': 153, 'clf__random_strength': 0.6031206184705814}"
Bladder Cancer vs Kidney Cancer,XGBoost,0.659780027496563,0.032369226001414717,0.6978583426651735,0.027761616556257467,0.7486016237402016,0.017713849744082688,0.7307036263848818,0.03267861873045955,0.8907791597253774,0.020072357256074303,0.6207166853303472,0.044495992909828606,775,0.04592793267718459,0.6553459119496854,0.017965857681868803,0.656890756302521,0.02790653061483734,0.7059243697478992,0.003409321474806817,0.7395120305243537,0.013704453492684602,0.8516148175912044,0.020059331505258782,0.653781512605042,0.016294722209802808,0.6599999999999999,0.05385164807134505,"{'imputer__n_neighbors': 17, 'clf__max_depth': 3, 'clf__n_estimators': 188, 'clf__lr': 0.013771983064633607, 'clf__subsample': 0.7912176571853161, 'clf__colsample_bytree': 0.7514660788386992, 'clf__min_child_weight': 5.584910072279646, 'clf__gamma': 0.8279428355209382, 'clf__reg_alpha': 0.2975408515668533, 'clf__reg_lambda': 0.10544890574129752, 'clf__scale_pos_weight': 0.642425474160642}"
