iter	Passed	Remaining
0	9	1458
1	17	1418
2	24	1291
3	31	1230
4	38	1195
5	45	1162
6	49	1083
7	56	1074
8	62	1045
9	66	1004
10	70	959
11	74	915
12	77	877
13	80	836
14	82	801
15	85	769
16	87	738
17	89	709
18	92	683
19	94	660
20	96	637
21	98	615
22	100	596
23	101	577
24	103	560
25	105	543
26	107	527
27	108	512
28	110	498
29	112	485
30	113	472
31	115	460
32	116	448
33	117	437
34	119	426
35	120	416
36	122	405
37	123	396
38	124	386
39	126	379
40	127	371
41	129	363
42	131	356
43	132	350
44	134	343
45	135	336
46	137	330
47	138	324
48	140	318
49	142	312
50	143	307
51	145	301
52	146	295
53	147	289
54	149	285
55	151	281
56	153	276
57	154	271
58	156	267
59	157	262
60	159	258
61	160	254
62	162	249
63	163	245
64	164	241
65	166	236
66	167	232
67	169	229
68	170	225
69	172	221
70	173	217
71	175	214
72	177	210
73	178	207
74	179	203
75	181	200
76	183	197
77	184	194
78	186	190
79	187	187
80	189	184
81	190	181
82	192	178
83	193	175
84	195	172
85	197	169
86	198	166
87	199	163
88	200	160
89	201	156
90	203	153
91	204	150
92	205	148
93	206	145
94	207	142
95	209	139
96	210	136
97	211	133
98	212	131
99	213	128
100	215	125
101	216	123
102	217	120
103	218	117
104	219	115
105	221	112
106	223	110
107	224	108
108	225	105
109	227	103
110	228	100
111	230	98
112	232	96
113	233	94
114	235	92
115	236	89
116	238	87
117	240	85
118	241	83
119	243	81
120	244	78
121	245	76
122	247	74
123	248	72
124	249	69
125	251	67
126	252	65
127	254	63
128	255	61
129	257	59
130	258	57
131	260	55
132	262	53
133	263	51
134	264	49
135	266	46
136	268	45
137	269	42
138	270	40
139	272	38
140	273	36
141	275	34
142	276	32
143	278	30
144	279	28
145	281	27
146	282	25
147	284	23
148	285	21
149	288	19
150	289	17
151	291	15
152	292	13
153	293	11
154	295	9
155	297	7
156	298	5
157	299	3
158	300	1
159	302	0
