n_features,bal_acc,accuracy,roc_auc,f1,precision,sensitivity,specificity,confusion_matrix
2,0.9385767790262172,0.9411764705882353,0.9627340823970039,0.96,0.9767441860465116,0.9438202247191011,0.9333333333333333,"[[28  2]
 [ 5 84]]"
3,0.9271535580524344,0.907563025210084,0.9745318352059925,0.9349112426035503,0.9875,0.8876404494382022,0.9666666666666667,"[[29  1]
 [10 79]]"
4,0.9104868913857678,0.8991596638655462,0.9629213483146067,0.9294117647058824,0.9753086419753086,0.8876404494382022,0.9333333333333333,"[[28  2]
 [10 79]]"
5,0.9271535580524344,0.907563025210084,0.9677902621722846,0.9349112426035503,0.9875,0.8876404494382022,0.9666666666666667,"[[29  1]
 [10 79]]"
6,0.9161048689138577,0.907563025210084,0.9602996254681647,0.935672514619883,0.975609756097561,0.898876404494382,0.9333333333333333,"[[28  2]
 [ 9 80]]"
7,0.9161048689138577,0.907563025210084,0.9584269662921348,0.935672514619883,0.975609756097561,0.898876404494382,0.9333333333333333,"[[28  2]
 [ 9 80]]"
8,0.905056179775281,0.907563025210084,0.9588014981273408,0.9364161849710982,0.9642857142857143,0.9101123595505618,0.9,"[[27  3]
 [ 8 81]]"
9,0.9329588014981274,0.9327731092436975,0.9625468164794008,0.9540229885057471,0.9764705882352941,0.9325842696629213,0.9333333333333333,"[[28  2]
 [ 6 83]]"
10,0.9217228464419476,0.9159663865546218,0.9591760299625468,0.9418604651162791,0.9759036144578314,0.9101123595505618,0.9333333333333333,"[[28  2]
 [ 8 81]]"
11,0.9161048689138577,0.907563025210084,0.9617977528089888,0.935672514619883,0.975609756097561,0.898876404494382,0.9333333333333333,"[[28  2]
 [ 9 80]]"
12,0.905056179775281,0.907563025210084,0.9580524344569289,0.9364161849710982,0.9642857142857143,0.9101123595505618,0.9,"[[27  3]
 [ 8 81]]"
13,0.905056179775281,0.907563025210084,0.9539325842696629,0.9364161849710982,0.9642857142857143,0.9101123595505618,0.9,"[[27  3]
 [ 8 81]]"
14,0.905056179775281,0.907563025210084,0.9565543071161049,0.9364161849710982,0.9642857142857143,0.9101123595505618,0.9,"[[27  3]
 [ 8 81]]"
15,0.905056179775281,0.907563025210084,0.9569288389513108,0.9364161849710982,0.9642857142857143,0.9101123595505618,0.9,"[[27  3]
 [ 8 81]]"
16,0.9440074906367042,0.9327731092436975,0.9636704119850187,0.9534883720930233,0.9879518072289156,0.9213483146067416,0.9666666666666667,"[[29  1]
 [ 7 82]]"
17,0.9162921348314607,0.9243697478991597,0.9546816479400749,0.9485714285714286,0.9651162790697675,0.9325842696629213,0.9,"[[27  3]
 [ 6 83]]"
18,0.9383895131086142,0.9243697478991597,0.957303370786517,0.9473684210526315,0.9878048780487805,0.9101123595505618,0.9666666666666667,"[[29  1]
 [ 8 81]]"
19,0.9329588014981274,0.9327731092436975,0.9591760299625468,0.9540229885057471,0.9764705882352941,0.9325842696629213,0.9333333333333333,"[[28  2]
 [ 6 83]]"
20,0.9108614232209737,0.9327731092436975,0.9696629213483147,0.9550561797752809,0.9550561797752809,0.9550561797752809,0.8666666666666667,"[[26  4]
 [ 4 85]]"
21,0.9275280898876405,0.9411764705882353,0.9696629213483147,0.96045197740113,0.9659090909090909,0.9550561797752809,0.9,"[[27  3]
 [ 4 85]]"
22,0.905243445692884,0.9243697478991597,0.9677902621722846,0.9491525423728814,0.9545454545454546,0.9438202247191011,0.8666666666666667,"[[26  4]
 [ 5 84]]"
23,0.9275280898876405,0.9411764705882353,0.9636704119850188,0.96045197740113,0.9659090909090909,0.9550561797752809,0.9,"[[27  3]
 [ 4 85]]"
24,0.9219101123595506,0.9327731092436975,0.9644194756554307,0.9545454545454546,0.9655172413793104,0.9438202247191011,0.9,"[[27  3]
 [ 5 84]]"
25,0.9385767790262172,0.9411764705882353,0.9647940074906368,0.96,0.9767441860465116,0.9438202247191011,0.9333333333333333,"[[28  2]
 [ 5 84]]"
26,0.9441947565543072,0.9495798319327731,0.9704119850187266,0.9659090909090909,0.9770114942528736,0.9550561797752809,0.9333333333333333,"[[28  2]
 [ 4 85]]"
27,0.9275280898876405,0.9411764705882353,0.9689138576779027,0.96045197740113,0.9659090909090909,0.9550561797752809,0.9,"[[27  3]
 [ 4 85]]"
28,0.9219101123595506,0.9327731092436975,0.9685393258426966,0.9545454545454546,0.9655172413793104,0.9438202247191011,0.9,"[[27  3]
 [ 5 84]]"
29,0.9385767790262172,0.9411764705882353,0.9666666666666667,0.96,0.9767441860465116,0.9438202247191011,0.9333333333333333,"[[28  2]
 [ 5 84]]"
30,0.9385767790262172,0.9411764705882353,0.9629213483146067,0.96,0.9767441860465116,0.9438202247191011,0.9333333333333333,"[[28  2]
 [ 5 84]]"
31,0.9219101123595506,0.9327731092436975,0.9655430711610488,0.9545454545454546,0.9655172413793104,0.9438202247191011,0.9,"[[27  3]
 [ 5 84]]"
32,0.9275280898876405,0.9411764705882353,0.9692883895131086,0.96045197740113,0.9659090909090909,0.9550561797752809,0.9,"[[27  3]
 [ 4 85]]"
33,0.9385767790262172,0.9411764705882353,0.9707865168539326,0.96,0.9767441860465116,0.9438202247191011,0.9333333333333333,"[[28  2]
 [ 5 84]]"
34,0.9219101123595506,0.9327731092436975,0.9640449438202248,0.9545454545454546,0.9655172413793104,0.9438202247191011,0.9,"[[27  3]
 [ 5 84]]"
35,0.9219101123595506,0.9327731092436975,0.9629213483146067,0.9545454545454546,0.9655172413793104,0.9438202247191011,0.9,"[[27  3]
 [ 5 84]]"
36,0.9275280898876405,0.9411764705882353,0.9670411985018726,0.96045197740113,0.9659090909090909,0.9550561797752809,0.9,"[[27  3]
 [ 4 85]]"
37,0.9385767790262172,0.9411764705882353,0.9629213483146067,0.96,0.9767441860465116,0.9438202247191011,0.9333333333333333,"[[28  2]
 [ 5 84]]"
38,0.9219101123595506,0.9327731092436975,0.9700374531835205,0.9545454545454546,0.9655172413793104,0.9438202247191011,0.9,"[[27  3]
 [ 5 84]]"
39,0.9441947565543072,0.9495798319327731,0.9606741573033708,0.9659090909090909,0.9770114942528736,0.9550561797752809,0.9333333333333333,"[[28  2]
 [ 4 85]]"
40,0.9608614232209738,0.957983193277311,0.9704119850187266,0.9714285714285714,0.9883720930232558,0.9550561797752809,0.9666666666666667,"[[29  1]
 [ 4 85]]"
41,0.9275280898876405,0.9411764705882353,0.9700374531835206,0.96045197740113,0.9659090909090909,0.9550561797752809,0.9,"[[27  3]
 [ 4 85]]"
42,0.9385767790262172,0.9411764705882353,0.9632958801498128,0.96,0.9767441860465116,0.9438202247191011,0.9333333333333333,"[[28  2]
 [ 5 84]]"
43,0.9385767790262172,0.9411764705882353,0.9632958801498127,0.96,0.9767441860465116,0.9438202247191011,0.9333333333333333,"[[28  2]
 [ 5 84]]"
44,0.9385767790262172,0.9411764705882353,0.9681647940074907,0.96,0.9767441860465116,0.9438202247191011,0.9333333333333333,"[[28  2]
 [ 5 84]]"
45,0.9441947565543072,0.9495798319327731,0.9711610486891386,0.9659090909090909,0.9770114942528736,0.9550561797752809,0.9333333333333333,"[[28  2]
 [ 4 85]]"
46,0.9275280898876405,0.9411764705882353,0.9670411985018726,0.96045197740113,0.9659090909090909,0.9550561797752809,0.9,"[[27  3]
 [ 4 85]]"
47,0.9219101123595506,0.9327731092436975,0.9640449438202248,0.9545454545454546,0.9655172413793104,0.9438202247191011,0.9,"[[27  3]
 [ 5 84]]"
48,0.9441947565543072,0.9495798319327731,0.9685393258426968,0.9659090909090909,0.9770114942528736,0.9550561797752809,0.9333333333333333,"[[28  2]
 [ 4 85]]"
49,0.9385767790262172,0.9411764705882353,0.9662921348314607,0.96,0.9767441860465116,0.9438202247191011,0.9333333333333333,"[[28  2]
 [ 5 84]]"
50,0.9385767790262172,0.9411764705882353,0.9726591760299625,0.96,0.9767441860465116,0.9438202247191011,0.9333333333333333,"[[28  2]
 [ 5 84]]"
51,0.9385767790262172,0.9411764705882353,0.9692883895131087,0.96,0.9767441860465116,0.9438202247191011,0.9333333333333333,"[[28  2]
 [ 5 84]]"
52,0.9275280898876405,0.9411764705882353,0.9674157303370786,0.96045197740113,0.9659090909090909,0.9550561797752809,0.9,"[[27  3]
 [ 4 85]]"
